id,back_default,back_female,back_shiny,back_shiny_female,front_default,front_female,front_shiny,front_shiny_female
1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/1.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/1.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/1.png,
2,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/2.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/2.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/2.png,
3,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/female/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/female/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/female/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/female/3.png
4,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/4.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/4.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/4.png,
5,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/5.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/5.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/5.png,
6,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/6.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/6.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/6.png,
7,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/7.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/7.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/7.png,
8,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/8.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/8.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/8.png,
9,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/9.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/9.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/9.png,
10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/10.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/back/shiny/10.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/10.png,
